inner_n,stride_power,blocks,status,bmd_cold_multiply_s,bmd_warm_exact_multiply_s,dense_multiply_s,sparse_multiply_s,dense_over_bmd_cold,sparse_over_bmd_cold,dense_over_bmd_warm,sparse_over_bmd_warm,bmd_related_cold_s,bmd_related_reuse_s,related_cache_speedup,bmd_operand_nodes,bmd_result_nodes,bmd_new_workspace_nodes,bmd_mul_cache_entries,bmd_equality_s,dense_equality_s,sparse_equality_s,dense_over_bmd_equality,sparse_over_bmd_equality,numeric_check
31,7,32,OK,0.000909,2.2716e-05,0.000116716,3.9216e-05,0.128400440044004,0.0431419141914191,5.13805247402712,1.72636027469625,0.000815,0.00086,0.947674418604651,10,10,5,5,3.30335664335664e-07,1.8596127744511e-06,1.17697804391218e-06,5.62946413367431,3.56297599981881,1
63,8,64,OK,0.001032,3.06095897435897e-05,5.82048888888889e-05,0.000174991,0.0564000861326443,0.16956492248062,1.90152463252397,5.71686851950202,0.000828,0.000867,0.955017301038062,12,12,6,6,2.85380619380619e-07,7.86044444444445e-06,3.03516167664671e-06,27.5437220001291,10.6354863313217,1
255,10,64,OK,0.001066,2.28942608695652e-05,0.000153180285714286,0.000538399333333333,0.143696328062182,0.505065040650406,6.69077226764363,23.516781624912,0.001035,0.000989,1.04651162790698,14,14,8,8,2.54411588411588e-07,1.13491168831169e-05,1.08418241758242e-05,44.6092764640745,42.6152921866288,1
255,10,128,OK,0.001059,2.26768695652174e-05,0.000268491,0.000960666,0.253532577903683,0.90714447592068,11.8398617246457,42.3632546475244,0.001051,0.001195,0.879497907949791,15,15,8,8,2.69396603396603e-07,1.90764166666667e-05,1.56374285714286e-05,70.8116450844131,58.0461237234208,1
