inner_n,stride_power,blocks,logical_terms,status,bmd_median_s,bmd_q25_s,bmd_q75_s,bmd_min_s,bmd_max_s,bmd_cv,sparse_median_s,sparse_q25_s,sparse_q75_s,sparse_min_s,sparse_max_s,sparse_cv,ratio_median,paired_ratio_median,robust_ratio_low,robust_ratio_high,robust_winner,bmd_operand_nodes,bmd_result_nodes,bmd_new_workspace_nodes,bmd_mul_cache_entries,sparse_terms_a,sparse_terms_b,numeric_check
255,10,96,24576,OK,0.001123,0.001108,0.001327,0.001002,0.002102,0.264291172072273,0.000841,0.000819,0.000986,0.000808,0.001046,0.111602481352479,0.748886910062333,0.722873900293255,0.617181612660136,0.889891696750902,SPARSE,15,15,8,8,256,96,1
255,10,128,32768,OK,0.001104,0.001059,0.001383,0.000966,0.001481,0.158011968258552,0.000974,0.000943,0.001013,0.000895,0.001284,0.11589807032307,0.882246376811594,0.845136921624174,0.681851048445409,0.956562795089707,SPARSE,15,15,8,8,256,128,1
255,10,160,40960,OK,0.000995,0.000977,0.001004,0.000962,0.001064,0.0346835393388815,0.001186,0.001081,0.001249,0.001073,0.001286,0.0714353799209799,1.19195979899497,1.19116135662898,1.07669322709163,1.27840327533265,BMD,17,17,8,8,256,160,1
255,10,192,49152,OK,0.000994,0.000964,0.001002,0.000942,0.001106,0.0508824064949651,0.00141,0.001369,0.001422,0.001217,0.001573,0.0744728589327846,1.41851106639839,1.44190871369295,1.36626746506986,1.47510373443983,BMD,16,16,8,8,256,192,1
255,10,256,65536,OK,0.000981,0.00097,0.000992,0.000961,0.001062,0.0301979393481204,0.001679,0.001666,0.001802,0.001589,0.001911,0.0644015603615386,1.71151885830785,1.71151885830785,1.67943548387097,1.85773195876289,BMD,16,16,8,8,256,256,1
255,10,384,98304,OK,0.001023,0.000996,0.00104,0.000939,0.001109,0.0527524395936152,0.002616,0.002597,0.002679,0.002455,0.003194,0.0773047071349313,2.55718475073314,2.61876832844575,2.49711538461538,2.68975903614458,BMD,17,17,8,8,256,384,1
255,10,512,131072,OK,0.001024,0.001017,0.001039,0.000969,0.001078,0.0326900155927291,0.003593,0.00345,0.003614,0.003278,0.004307,0.082267374404029,3.5087890625,3.47834456207892,3.32050048123195,3.55358898721731,BMD,17,17,8,8,256,512,1
255,10,1024,262144,OK,0.000985,0.000978,0.001051,0.00095,0.00109,0.0508911098437606,0.007044,0.006856,0.00738,0.006709,0.007609,0.0456142763120085,7.151269035533,7.08472998137803,6.523311132255,7.54601226993865,BMD,18,18,8,8,256,1024,1
